repo,dag_id,file,lineno,ziel_dag_id,ziel_gefunden,ziel_file,quell_T_s,ziel_T_s,periods,topf,grund,permalink
An4PDM/Aprendendo-a-criar-DAGs,dag_filha,dag_filha.py,23,dag_principal,True,dag_principal.py,60.0,60.0,,weiterhin_nicht,Ziel-Task 'imprime_1' nicht im Ziel-DAG gefunden,https://github.com/An4PDM/Aprendendo-a-criar-DAGs/blob/adfeb08cf66672eec3b2330c1ce505f813734756/dag_filha.py#L23
IanRJ19/PEDE5_Airflow,ets_master,dags/MODULO_3/external_task_sensor/ets_master.py,18,ets_slave,True,dags/MODULO_3/external_task_sensor/ets_slave.py,60.0,60.0,1,modellierbar,"Kante ets_slave.load -> sensor, periods=1",https://github.com/IanRJ19/PEDE5_Airflow/blob/64edbf6b961cb0fe4d5669e1bdff0d6856f046c1/dags/MODULO_3/external_task_sensor/ets_master.py#L18
PsychoUranium/ApacheAirflow,sensor_target_dag,dags/sensor_target_dag.py,16,sensor_parent_dag,True,dags/sensor_parent_dag.py,3600.0,3600.0,,weiterhin_nicht,execution_delta/T = 0.0833333 ist nicht ganzzahlig >= 1,https://github.com/PsychoUranium/ApacheAirflow/blob/19c5bc5b3aebf0b0bea5423420af1d15c356d577/dags/sensor_target_dag.py#L16
Sathya112716/daily_practice,master_dag,airflow/master_dag.py,20,slave_dag,True,airflow/slave_dag.py,180.0,300.0,,weiterhin_nicht,verschiedene Takte (300s vs 180s) sind im Ein-Perioden-Modell nicht darstellbar,https://github.com/Sathya112716/daily_practice/blob/bc23a03b0a9964709a32a4a3fb051020f72a3f2f/airflow/master_dag.py#L20
afghifariii/belajar_airflow,example_sensors,dags/example_sensors.py,25,example_variables,True,dags/example_variables.py,3600.0,3600.0,,weiterhin_nicht,execution_delta/T = 0.25 ist nicht ganzzahlig >= 1,https://github.com/afghifariii/belajar_airflow/blob/8b3b2fb216c3dcc590f89845ff06b38c32f428cf/dags/example_sensors.py#L25
ajaykuma/Airflow_work,ExternalWorkWithExecutionDelta,airflow/dags/16-create-dag-test-depen7.py,27,DependentJob,True,airflow/dags/14-create-dag-test-depen5.py,900.0,600.0,,weiterhin_nicht,verschiedene Takte (600s vs 900s) sind im Ein-Perioden-Modell nicht darstellbar,https://github.com/ajaykuma/Airflow_work/blob/6e5ecbd687ba255a3861fec0b05ae3270b38e6c7/airflow/dags/16-create-dag-test-depen7.py#L27
amitmentos/Big_Data_Project,data_quality_monitoring,orchestration/dags/data_quality_dag.py,74,silver_to_gold_etl,False,,7200.0,,,ziel_nicht_im_repo,Ziel-DAG 'silver_to_gold_etl' nicht (eindeutig) im Parse-Satz,https://github.com/amitmentos/Big_Data_Project/blob/caf05c6c38317030307d8b04e260663d0d5ab985/orchestration/dags/data_quality_dag.py#L74
amitmentos/Big_Data_Project,great_expectations_data_validation,orchestration/dags/great_expectations_dag.py,353,silver_to_gold_etl,False,,21600.0,,,ziel_nicht_im_repo,Ziel-DAG 'silver_to_gold_etl' nicht (eindeutig) im Parse-Satz,https://github.com/amitmentos/Big_Data_Project/blob/caf05c6c38317030307d8b04e260663d0d5ab985/orchestration/dags/great_expectations_dag.py#L353
ashpatil4040/credit-eligibility-analytics-etl,feature_engineering_dag,dags/feature_engineering_dag.py,26,raw_ingestion_dag,True,dags/raw_ingestion_dag.py,3600.0,3600.0,,weiterhin_nicht,execution_delta/T = 0.25 ist nicht ganzzahlig >= 1,https://github.com/ashpatil4040/credit-eligibility-analytics-etl/blob/fb2472e95b2aa511a9f299a2d424a73d12706974/dags/feature_engineering_dag.py#L26
bhatiadeepak0805/OmniRoute_Project_Group_4,dag2_batch_pipeline_harsh,DAG_Codes/dag_2.py,480,dag2_batch_pipeline_harsh,True,DAG_Codes/dag_2.py,18000.0,18000.0,,weiterhin_nicht,Selbst-Referenz: Sensor zeigt auf den eigenen DAG,https://github.com/bhatiadeepak0805/OmniRoute_Project_Group_4/blob/ce4836fa8fb5797ffdc36f15fae8b1a33c3da67c/DAG_Codes/dag_2.py#L480
pastaspriest/airflow-docker,ods_dag,dags/ods_dag.py,24,stg_dag,True,dags/stg_dag.py,3600.0,3600.0,,weiterhin_nicht,execution_delta/T = 0.0333333 ist nicht ganzzahlig >= 1,https://github.com/pastaspriest/airflow-docker/blob/4e0c72ddc14d5f75b8f081a4218200be8a68dcd7/dags/ods_dag.py#L24
ramcreddy-ch/alphastream-mlops,feature_materialization,hedgefund-mlops/airflow/dags/feature_materialization.py,41,data_ingestion_pipeline,True,hedgefund-mlops/airflow/dags/data_ingestion_pipeline.py,300.0,,,weiterhin_nicht,Takt eines der beiden DAGs nicht bestimmbar,https://github.com/ramcreddy-ch/alphastream-mlops/blob/7f3cf228b9e38f269bc17aabeb272e3fa2bb5bcc/hedgefund-mlops/airflow/dags/feature_materialization.py#L41
sreeraj2004/data-lakehouse,silver_transform,dags/silver_transform_dag.py,39,bronze_ingestion,True,dags/bronze_ingestion_dag.py,3600.0,3600.0,,weiterhin_nicht,execution_delta/T = 0.166667 ist nicht ganzzahlig >= 1,https://github.com/sreeraj2004/data-lakehouse/blob/3488970eabbd5053211a415c2c23a118c7e56dea/dags/silver_transform_dag.py#L39
yhyyz/mwaa-common,DAG_test_day-single-dependency,dags/single-dependency/dag-test-daily-single-dependency.py,40,DAG_test_hour-single-dependency,True,dags/single-dependency/dag-test-hourly-single-dependency.py,3600.0,3600.0,,weiterhin_nicht,external_task_id fehlt oder ist nicht statisch aufloesbar,https://github.com/yhyyz/mwaa-common/blob/b47ab04ef0f25c44093599ddc0dd2c0bb625b152/dags/single-dependency/dag-test-daily-single-dependency.py#L40
